x,y,z
642732.215,8304295.847,1182.3
642732.378,8304295.817,1182.067
642732.541,8304295.787,1182.033
642732.704,8304295.756,1182
642732.876,8304295.725,1182.033
642733.048,8304295.693,1182.067
642733.22,8304295.661,1182.1
642733.375,8304295.632,1182.1
642733.531,8304295.603,1182.1
642733.714,8304295.569,1182.1
642733.896,8304295.536,1182.1
642734.031,8304295.511,1182.067
642734.166,8304295.486,1182.033
642734.301,8304295.461,1182
642734.491,8304295.426,1181.95
642734.682,8304295.39,1181.9
642734.84,8304295.361,1181.933
642734.997,8304295.332,1181.967
642735.155,8304295.303,1182
642735.306,8304295.275,1182
642735.456,8304295.247,1182
642735.619,8304295.217,1182.15
642735.782,8304295.187,1182.3
642735.971,8304295.152,1182.375
642736.161,8304295.116,1182.45
642736.351,8304295.081,1182.525
642736.541,8304295.046,1182.6
