x,y,z
642732.42,8304297.063,1182.3
642732.581,8304297.032,1182.15
642732.741,8304297.001,1182.1
642732.878,8304296.974,1182.1
642733.015,8304296.948,1182.1
642733.152,8304296.922,1182.1
642733.305,8304296.892,1182.05
642733.458,8304296.862,1182
642733.635,8304296.828,1181.967
642733.812,8304296.794,1181.933
642733.99,8304296.76,1181.9
642734.143,8304296.73,1181.85
642734.296,8304296.7,1181.8
642734.437,8304296.673,1181.867
642734.577,8304296.646,1181.933
642734.718,8304296.619,1182
642734.871,8304296.589,1182
642735.023,8304296.56,1182
642735.176,8304296.53,1182
642735.34,8304296.499,1182.033
642735.504,8304296.467,1182.2
642735.669,8304296.435,1182.3
642735.835,8304296.403,1182.3
642736.001,8304296.371,1182.3
642736.166,8304296.339,1182.3
